序号	名称	数量	计时方式	计时数（没有说明时机就是每个回合结束后计时-1，为0时弃置）	效果
1	增援	4	此牌被设置时即刻生效并结算	0	抽2张行动牌与1张装备牌（我方回合外抽取装备牌时，若不立即设置则需要直接弃置）。
2	敌袭	2	此牌被设置时即刻生效并结算	0	选择弃置2张行动牌或我方机甲区域设置2损伤（位置由我方指定）。
3	遭遇	2	此牌被设置时即刻生效并结算	0	若我方的机师牌、机甲框架的所属阵营里没有联邦，则选择弃置2张行动牌或我方机甲区域设置2损伤（位置由我方指定），否则选择抽2张行动牌或移除2损伤。
4	遭遇	2	此牌被设置时即刻生效并结算	0	若我方的机师牌、机甲框架的所属阵营里没有帝国，则选择弃置2张行动牌或我方机甲区域设置2损伤（位置由我方指定），否则选择抽2张行动牌或移除2损伤。
5	拾荒	4	从当前回合开始计时	3	每当回合即将结束，可以弃置1张行动牌，抽1张装备牌，并设置到区域上（若不立即设置则需要直接弃置）。
6	陷落	3	从下一个我方回合开始计时	1	机甲不能再移动和发动攻击，也不能被选为攻击目标。我方下个回合开始时计时-1。此牌计时结束时，可以抽1张新的事件牌设置在区域上。
7	招募	3	从当前回合开始计时	2	此牌只会在我方回合结束后计时。我方回合1次，可以花费2金币，从机师牌堆中抽1张牌，并设置到区域上（若不立即设置则放入牌堆底）。
8	悬赏	4	从当前回合开始计时	3	此牌只会在我方回合结束后计时。我方回合1次，可以弃置1张行动牌，获得2金币。我方被攻击命中时，攻击方获得2金币。
9	宝藏	4	从当前回合开始计时	3	每当回合即将结束，可以弃置1张行动牌，投掷1骰子，若点数为1~3则获得3金币，4~5获得4金币，6获得6金币。
10	修整	4	从当前回合开始计时	3	此牌只会在我方回合结束后计时。我方回合结束时，若本回合没有移动，则可以回复机甲5生命或移除3损伤。
11	强化	2	从下一个我方回合开始计时	2	此牌只会在我方回合结束后计时。机甲护甲+5。
12	强化	2	从下一个我方回合开始计时	2	此牌只会在我方回合结束后计时。机甲动力+4。
13	强化	2	从下一个我方回合开始计时	2	此牌只会在我方回合结束后计时。我方武器威力+4。
14	强化	2	从下一个我方回合开始计时	2	此牌只会在我方回合结束后计时。我方武器范围+2。
15	任务	2	从当前回合开始计时	3	此牌只会在我方回合结束后计时。在计时结束前累积移动10格，可选择抽4张行动牌或2张装备牌(只能在我方回合抽取)。
16	任务	2	从当前回合开始计时	3	此牌只会在我方回合结束后计时。在计时结束前累积发动攻击命中1次，可选择抽4张行动牌或2张装备牌(只能在我方回合抽取)。
17	任务	2	从当前回合开始计时	3	此牌只会在我方回合结束后计时。在计时结束前累积获得8金币，可选择抽4张行动牌或2张装备牌(只能在我方回合抽取)。
18	任务	2	从当前回合开始计时	3	此牌只会在我方回合结束后计时。在计时结束前累积使用4张行动牌，可选择抽4张行动牌或2张装备牌(只能在我方回合抽取)。
19	任务	2	从当前回合开始计时	3	此牌只会在我方回合结束后计时。在计时结束前累积正面设置3张装备牌，可选择抽4张行动牌或2张装备牌(只能在我方回合抽取)。
20	修悟	2	从当前回合开始计时	3	每当回合即将结束，可以选择执行以下其一：1、抽2张行动牌；2、弃置2张行动牌回复此牌1计时，之后抽1张行动牌。
